model_name,actual_aqi,predicted_aqi,error
Linear Regression (Baseline),112.0,122.06609665738789,10.066096657387888
Linear Regression (Baseline),166.0,151.47075530528522,-14.529244694714777
Linear Regression (Baseline),64.0,98.56117896080563,34.561178960805634
Linear Regression (Baseline),61.0,88.9528699860699,27.9528699860699
Linear Regression (Baseline),508.0,450.22098555621085,-57.77901444378915
Linear Regression (Baseline),218.0,140.21606511434385,-77.78393488565615
Linear Regression (Baseline),107.0,122.13688305499593,15.136883054995934
Linear Regression (Baseline),108.0,97.06956481438533,-10.93043518561467
Linear Regression (Baseline),40.0,56.53038096602439,16.53038096602439
Linear Regression (Baseline),161.0,147.7581859735937,-13.241814026406303
Linear Regression (Baseline),136.0,112.69594921586386,-23.304050784136138
Linear Regression (Baseline),79.0,112.6048171633489,33.6048171633489
Linear Regression (Baseline),151.0,154.1859777068163,3.1859777068162884
Linear Regression (Baseline),151.0,208.30370078497575,57.303700784975746
Linear Regression (Baseline),74.0,57.357147973029576,-16.642852026970424
Linear Regression (Baseline),72.0,99.97624821341684,27.976248213416838
Linear Regression (Baseline),125.0,86.8308315602493,-38.169168439750706
Linear Regression (Baseline),55.0,77.56573905517534,22.565739055175342
Linear Regression (Baseline),341.0,349.54077559291636,8.540775592916361
Linear Regression (Baseline),94.0,67.91627475689714,-26.08372524310286
Linear Regression (Baseline),116.0,132.43787997883481,16.437879978834815
Linear Regression (Baseline),365.0,341.2687656059485,-23.731234394051512
Linear Regression (Baseline),99.0,104.85447337626158,5.854473376261581
Linear Regression (Baseline),69.0,86.37301745750081,17.373017457500808
Linear Regression (Baseline),157.0,156.0921158454741,-0.9078841545259024
Linear Regression (Baseline),37.0,71.66279325407419,34.66279325407419
Linear Regression (Baseline),132.0,154.8738195396087,22.87381953960869
Linear Regression (Baseline),751.0,1007.5288692513585,256.5288692513585
Linear Regression (Baseline),160.0,161.30604791322915,1.3060479132291505
Linear Regression (Baseline),134.0,119.46872640317272,-14.531273596827276
Linear Regression (Baseline),275.0,242.48720250401348,-32.51279749598652
Linear Regression (Baseline),327.0,298.42779853577485,-28.572201464225145
Linear Regression (Baseline),127.0,93.81895315879002,-33.18104684120998
Linear Regression (Baseline),345.0,300.8423633637077,-44.157636636292295
Linear Regression (Baseline),89.0,116.95445279724291,27.954452797242908
Linear Regression (Baseline),271.0,280.2404578328004,9.240457832800416
Linear Regression (Baseline),114.0,132.3966654130455,18.396665413045497
Linear Regression (Baseline),95.0,125.71274002993837,30.712740029938374
Linear Regression (Baseline),210.0,170.03730007776437,-39.96269992223563
Linear Regression (Baseline),357.0,326.18488842274496,-30.81511157725504
Linear Regression (Baseline),102.0,122.71828969661115,20.71828969661115
Linear Regression (Baseline),130.0,96.56326181780014,-33.43673818219986
Linear Regression (Baseline),197.0,110.84502687479271,-86.15497312520729
Linear Regression (Baseline),221.0,234.7811597945717,13.781159794571693
Linear Regression (Baseline),84.0,75.36443598561357,-8.635564014386432
Linear Regression (Baseline),81.0,102.77978072132845,21.77978072132845
Linear Regression (Baseline),351.0,272.71530255443895,-78.28469744556105
Linear Regression (Baseline),85.0,76.55782379493864,-8.442176205061358
Linear Regression (Baseline),87.0,105.18647465804763,18.18647465804763
Linear Regression (Baseline),156.0,77.33118535478505,-78.66881464521495
Linear Regression (Baseline),42.0,87.0408158222843,45.0408158222843
Linear Regression (Baseline),149.0,144.11262773975994,-4.887372260240056
Linear Regression (Baseline),139.0,192.0293482059552,53.02934820595519
Linear Regression (Baseline),93.0,94.88268844576186,1.8826884457618576
Linear Regression (Baseline),90.0,92.05762113445547,2.0576211344554736
Linear Regression (Baseline),90.0,117.37612127553196,27.376121275531958
Linear Regression (Baseline),84.0,66.5216076715411,-17.478392328458895
Linear Regression (Baseline),339.0,345.03357547308576,6.033575473085762
Linear Regression (Baseline),81.0,75.76062986817497,-5.2393701318250265
Linear Regression (Baseline),123.0,136.85376836328481,13.853768363284814
Linear Regression (Baseline),83.0,94.73861606255241,11.73861606255241
Linear Regression (Baseline),84.0,88.93466566243535,4.93466566243535
Linear Regression (Baseline),94.0,131.06569374278567,37.06569374278567
Linear Regression (Baseline),64.0,62.253087576980676,-1.7469124230193245
Linear Regression (Baseline),118.0,134.46166457137195,16.461664571371955
Linear Regression (Baseline),75.0,85.41076660866801,10.410766608668013
Linear Regression (Baseline),80.0,102.80345192637824,22.803451926378244
Linear Regression (Baseline),295.0,273.75848883697677,-21.241511163023233
Linear Regression (Baseline),1201.0,1039.8219807459604,-161.17801925403955
Linear Regression (Baseline),104.0,118.17227177221703,14.17227177221703
Linear Regression (Baseline),120.0,153.56573448521186,33.56573448521186
Linear Regression (Baseline),89.0,177.88637427730887,88.88637427730887
Linear Regression (Baseline),323.0,303.6246476371276,-19.375352362872377
Linear Regression (Baseline),169.0,172.3128764471293,3.312876447129298
Linear Regression (Baseline),165.0,147.3373178581313,-17.662682141868686
Linear Regression (Baseline),96.0,101.55758087734506,5.55758087734506
Linear Regression (Baseline),89.0,113.56519190494055,24.565191904940548
Linear Regression (Baseline),82.0,102.74515567843879,20.745155678438792
Linear Regression (Baseline),307.0,267.20977516699065,-39.79022483300935
Linear Regression (Baseline),74.0,81.99092321710191,7.9909232171019084
Linear Regression (Baseline),122.0,152.65652542449558,30.656525424495584
Linear Regression (Baseline),189.0,195.59844577595464,6.598445775954644
Linear Regression (Baseline),226.0,187.66096955407394,-38.339030445926056
Linear Regression (Baseline),60.0,80.58165754349895,20.58165754349895
